wpm,avg runtime,avg WPM,avg reps,rating,rank,provider,provider rank,show
144.8331392,13,2.090909091,3.591652274,1.578116883,1,Amazon Prime,1,Dinosaur Train
129.6133325,26.33333333,1.905638665,1.769576319,1.134280571,8,Amazon Prime,7,Peg And Cat
128.2073667,31.01666667,1.811342875,1.687112783,1.109801604,10,Netflix,2,Julies Greenroom
126.293675,22.35,1.310961969,2.093245654,1.17623607,5,Amazon Prime,5,Stinky And Dirty
116.9088114,25.88333333,2.051161974,2.292063565,1.157022483,7,Netflix,1,Magic School Bus
116.6467602,20.7,2.520860782,2.03629979,1.106199933,11,Netflix,3,StoryBots
116.2458327,23.36666667,2.357670859,1.562755202,1.012618385,19,Netflix,8,Popples
115.4811225,28.4,0.928297055,2.422222719,1.173326401,6,Amazon Prime,6,Mr Rogers Neighborhood
111.2340213,19.1,1.67539267,1.841879556,1.035639131,16,Netflix,6,Kazoops
110.389049,29.26666667,4.517843583,1.880456704,1.037888083,15,Netflix,5,Bookaboo
109.3771431,27.53333333,1.472595202,2.025270005,1.059558222,14,Amazon Prime,10,Creative Galaxy
109.288442,26.2,1.301526718,2.354850296,1.122437598,9,Amazon Prime,8,Daniel Tigers Neighborhood
108.9062059,53.5,1.170773152,2.10808459,1.072610572,12,Amazon Prime,9,Sesame Street
107.2481134,22.26666667,2.355743059,2.840824,1.20346066,4,Amazon Prime,4,Bubble Guppies
106.2354189,6.283333333,1.30214613,1.53902663,0.946748326,26,YouTube,1,Miss Persona
104.3186446,22.75,1.234765235,1.921307151,1.008573902,20,Netflix,9,Octonauts
103.7642331,23.21666667,0.931932389,1.846439858,0.990771639,22,Netflix,11,Llama Llama
103.7391564,22.21666667,1.588897224,1.975950812,1.015540431,18,Netflix,7,True Rainbow Kingdom
103.4183031,23,0.407114625,3.045046242,1.21930625,3,Amazon Prime,3,Team Umizoomi
102.5516487,18.73333333,0.650274992,2.301546003,1.070923835,13,Netflix,4,Puffin Rock
98.85621157,22.55,0.474501109,2.07451049,1.004603504,21,Netflix,10,Treehouse Detectives
98.51032815,90,1.016161616,2.149014242,1.016822394,17,Amazon Prime,11,Caillou
95.98396052,11.6,0.438871473,1.641774892,0.903740601,30,Netflix,15,Word Party
91.85327599,23.93333333,0.615345657,1.791558442,0.907267757,28,Netflix,14,Motown Magic
91.27003149,23.95,0.618713228,3.638044923,1.259023464,2,Amazon Prime,2,Dora The Explorer
90.55058344,1.733333333,10.64685315,1.875701458,0.915482066,27,Amazon Prime,13,Wishenpoof
89.67839276,21,0.7,1.811827192,0.897849157,31,Netflix,16,Super Monsters
89.66294951,26.51666667,0.562253585,1.609412875,0.858803107,33,Amazon Prime,16,Word World
89.0742512,25.46666667,1.078058067,1.869651806,0.905276833,29,Amazon Prime,14,Clifford
88.99057873,21.91666667,1.625993778,2.205670893,0.969426051,23,Netflix,12,Justin Time
88.38868552,23.36666667,1.338347815,2.177208555,0.960262918,24,Netflix,13,Luna Petunia
87.93912416,20.28333333,1.761410324,2.183301377,0.958682269,25,Amazon Prime,12,Dino Dana
86.57295374,23.56666667,1.384852771,1.52380323,0.823405705,35,Amazon Prime,17,Spongebob
84.11002719,24.05,3.628803629,1.632904569,0.82931757,34,Netflix,17,Beat Bugs
81.50201113,22.25,0.612870276,1.883503588,0.861569925,32,Amazon Prime,15,Tumble Leaf
55.28401967,26.33333333,0.262370541,2.142906336,0.750928716,36,Netflix,18,Pocoyo
32.92822104,19.46666667,0.719178082,1.387598204,0.468674341,38,Netflix,19,Masha and the Bear
7.195256641,22.85,0.835488363,2.253956921,0.477802644,37,Amazon Prime,18,Baby Einstein
97.97503374,24.63026316,1.629103203,2.07863053,1,,,1,Average
